	title	category
110	Elise By Olsen (17) er verdens yngste moteredaktør. Nå føler hun seg nesten gammel.	amagasinet
111	Netflix satser stort med skandinavisk TV-serie	kultur
112	Piloten i fotballtragedien hadde forfalsket papirene sine, hevder advokat.	verden
113	«Passengers»: Tam romanse i verdensrommet	kultur
114	Forsinkede og innstilte tog mellom Oslo og Gardermoen	osloby
115	Frykter at sjåføren ble kidnappet: - Det ser ut som om noen har øvd på å kjøre lastebilen.	verden
116	Tankbil med 15.000 liter diesel har veltet og sprunget lekk	norge
117	– Tujahekker er blitt innbruddstyvens beste venn	norge
118	Norske milliarder til nye kullkraftverk	norge
119	– Avvisning gjør så vondt. Får lyst til å hyle og gråte	norge
120	FN-sjefen: - Aleppo er nå et synonym for helvete	verden
121	Medierevisjonen: Naiv eller kunnskapsløs journalistikk om PR? | Gjermund Stenberg Eriksen	meninger
122	Skulle kjøpe bil, ble svindlet for 170 000 på åpen gate	osloby
123	Dagens quiz	kultur
124	– Steinene utgjør en stor risiko for trafikksikkerheten	norge
125	Språket vårt: Blikkskjenk m.m.	kultur
126	Glassklart om selvmord	kultur
127	Forsinkelser i togtrafikken ved Lillestrøm	norge
128	Si ;Ds julekalender 2016	meninger
129	Oslo kommune har kjøpt boliger for 869 millioner	osloby
130	17-åringen ble kritisk skadet. Nå tar Statoil selvkritikk for sikkerhetssvikt	norge
131	Økt innvandrerskepsis i Norge	norge
132	Slik får du juletreet til å vare lenge	norge
133	Spektakulære reisemål: Destinasjon Island	amagasinet
134	Født i Kenya, oppvokst i Norge: «Lever dere som i jungelen. Med løver og sånn?»	meninger
135	Hvem behandles?	kultur
136	Frode Thuen svarer deg: – Han blir irritert når jeg står opp for tidlig	norge
137	Podkast fra Aftenposten: Skuddet på Toftøy. Episode 2: Styrmannen	amagasinet
138	– Etterspørselen etter norsk sjømat øker mer enn næringen klarer å eksportere	okonomi
139	Anita Schjøll Brede: - Datamaskiner kommer til å bli smartere enn oss	viten
140	Solberg tar avstand fra Tybring-Gjeddes uttalelser	norge
141	Knivstikking på Tøyen	osloby
142	Sterkt beruset mann kjørte med datteren i baksetet. - Galskap, sier politiet.	norge
143	Oslo katolske bispedømme vedtar ikke millionbot	norge
144	Mann funnet død i Modum	norge
145	Jeg har en kronisk sykdom. For å ha en «normal» hverdag må jeg forholde meg til over 30 personer | Ramya Devulapalli	meninger
146	Bagatellisering av Kreftforeningens arbeid gjør meg provosert | Hani Vikebø	meninger
147	Nisser, sleder og juletrær = julestemning!	osloby
148	Lana Del Rey til Øya 2017	byliv
149	Obama: Jeg kunne ha vunnet over Trump	verden
150	To land ligger foran Norge i «verdensmesterskapet i likestilling»	okonomi
151	Spent i Köln før nyttårsfesten: Politiet tidobler beredskapen	verden
152	Ban Ki-moon bekymret for grusomheter i Aleppo	verden
153	Se Raymond Johansens elleville julebordsdans	osloby
154	Dette vet vi om våpenhvilen i Syria	verden
155	Vennene samlet til minnestund etter drap i Kristiansand: – Jakob var «kjendis», alle kjente ham	norge
156	På papiret er Stian likeverdig og fri. Det er som et parallelt univers | Trude Trønnes	kronikk
157	Bilistene betaler 9 milliarder mindre i avgifter enn før regjeringsskiftet	norge
158	Hvor mange av verdens konflikter kan forklares med ydmykelse?	amagasinet
159	Klimakrise, sa du? I norske hjem går det meste som før.	amagasinet
160	Netanyahu kan glede seg for tidlig | Frank Rossavik	meninger
161	Kronikk om den siste ulvejakten: Det er ikke sauen som driver ulvemotstanden | Ketil Skogen	kronikk
162	Datatilsynet: EU-dom om masselagring svært viktig	norge
163	T-baneproblem løst på ni minutter	osloby
164	Alderskontroll ved alle solarier fra nyttår	norge
165	Om Norge er en båt, må flere ro. Vi har ikke råd til å ha bare halve folket i arbeid! | Håkon Haugli	meninger
166	Kindereggets far er død	verden
167	Kort sagt 31. desember	meninger
168	27 drept i selvmordsangrep i Bagdad	verden
169	Putin har mistet kontroll med russernes medievaner. Nå prøver Moskva og Beijing å bygge den virkelige store nye muren på internett.	verden
170	Statoil-ansatt korrupsjonssiktet: Etterforsker tette personlige bånd i helikopteravtale	norge
171	På en søndag: Forskjellene i Norge øker – og hva så? | Hadia Tajik	meninger
172	Grete Brochmann ny styreleder i Fritt Ord	kultur
173	Den siktede 15-åringen var på skolen etter drapene	norge
174	Aftenposten mener: Airbnb bør ikke forbys	meninger
175	Festen spriter opp bilringene	amagasinet
176	Årskavalkade 2016	amagasinet
177	Tusenvis gikk i fakkeltog i protest mot asyl- og flyktningpolitikken	osloby
178	Utenlandske pengespill annonserer nå for 742 millioner på norske tv-kanaler	kultur
179	Nyttårsquiz	amagasinet
180	Trump bekreftes som vinner i Wisconsin etter omtelling	verden
181	Foreldre fra Libanon, bor på Frogner: – Religion skal ikke definere meg	meninger
182	Utsetter planer om gjenåpning på Rygge	norge
183	DN: Telenor sponset omstridte elitesoldater i Bangladesh	norge
184	Første juledag fikk danskene betalt for å bruke strøm	okonomi
185	50 personer skal jobbe ett år bare med å mure fasaden - stein for stein	osloby
186	Forslag til «bilfritt byliv»: Flere gågater, flere sitteplasser og søndagsåpne butikker	osloby
187	Statsbudsjettet: Dette er de største kamelene partiene har måttet svelge	norge
188	Støre hardt ut mot at sykehusene finansierer budsjettavtalen	norge
189	Dagens quiz	kultur
190	Datteren var døden nær – nå er foreldrene siktet for å ha forgiftet henne	norge
191	Nok argumenter	kultur
192	Nekrolog: Svein Kaasa	personalia
193	Jan Guillou: - Pengene er det forfatterkolleger legger merke til først	amagasinet
194	Det river i sjelen | Sturla Stålsett	meninger
195	Kvinne døde i brann i Drøbak	norge
196	Språket vårt: Anerkjent?	kultur
197	Jeg var 15 år da jeg for første gang sa høyt og stolt at jeg var samisk | Irja Sofie Fossbakk Lindvall	meninger
198	Takker Aftenpostens lesere for senger til barna	norge
199	Bakke-Jensen: – Gleder meg til å overta	norge
200	Thosebricks vant «The Stream»	kultur
201	Spørsmålene alle lurer på i Telenor-striden	okonomi
202	Hemmelig CIA-vurdering: Russland hjalp til med Donald Trumps valgkamp	verden
203	Voldtektsdømt SFO-ansatt bygget lydisolert barnecelle i kjelleren	norge
204	14 personer omkom i bussulykke	verden
205	Kort tid etter at hun hadde levert Jonathan i barnehagen, ringte telefonen. Det ble startet på et mareritt.	norge
206	Reglementet om skolefri er på ville veier	meninger
207	Podkast fra Aftenposten: Skuddet på Toftøy. Episode 6: Ved reisens slutt	amagasinet
208	Ta turen - på glattisen	osloby
209	Politiet får kritikk for å ha avhørt drapssiktet 15-åring uten forsvarer til stede	norge
210	Kraftig digitalvekst for aviser i USA etter Trump-seier	verden
211	Lørdagsfesten i Sibir endte i katastrofe. Hittil har massedrapet kostet 71 mennesker livet.	verden
212	Nekrolog: Jorunn Fossberg	personalia
213	Aftenposten mener: Farlig sekterisk konflikt etter IS	meninger
214	Reunion da Almaas takket av	kultur
215	Norge støtter arbeidet for Europas domstoler | Elisabeth Vik Aspaker	meninger
216	SV og Ap om NRK-finansiering: - Det haster med å finne en løsning	kultur
217	Aksjeinntektene økte mer enn samlet lønn	okonomi
218	Det er ikke utseendet som er jordskokkens fortrinn, det er smaken	amagasinet
219	Aftenposten mener: Ambassadør-drapet kan bli et propagandanummer.	meninger
220	Nekrolog: Jan Frøystein Halvorsen	personalia
221	Rapporter om overgrep i sluttkampen om Aleppo: - 82 henrettet på stedet	verden
222	Journalister som jobbet med Panama Papers ble truet, overvåket og saksøkt	okonomi
223	Her er årets beste restauranter	osloby
224	Dagens quiz	kultur
225	Direkteblogg: Vi følger ekstremværet i Sør-Norge	norge
226	Hudfletter regjeringens asylpolitikk: – Totalt uakseptabelt	verden
227	Skattetabbe rammer 140.000	norge
228	Aftenposten mener: Elevene skal ha de timene de har krav på	meninger
229	Nekrolog: Vilhelm Koren	personalia
230	Ber Stortinget stanse Regjeringens kostbar «papirflytting» av offentlig ansatte	norge
231	Høyres etikkutvalg ga opp Bergen og gikk av i protest	norge
232	Nekrolog: Jo Bech-Karlsen	personalia
233	Gates vil at Trump skal inspirere til innovasjon	verden
234	Mann siktet etter bilkapring funnet død i fengselscelle	norge
235	Uteskolen: Bli med til villmarka midt i Oslo	amagasinet
236	Årets norske musikk: Den suverene Jenny Hval	kultur
237	Diskrimineringsombudet: Hijab-nekt på sykehjem er lovstridig	norge
238	Den gode tonen med Putin kan koste Trumps drømmediplomat dyrt	verden
239	Polarheltene skrev glødende kjærlighetsbrev i isødet	amagasinet
240	Nå slår Sverige oss på arbeidsmarkedet, Tyskland gjør det snart. I Norge faller stadig flere utenfor.	verden
241	Sårede syrere på vei ut av Øst-Aleppo	verden
242	Pakistansk familie, født i Norge: – Oppfølgingspørsmålet «hvor er du egentlig fra?», når jeg svarer Bærum, er direkte ekskluderende	meninger
243	Sykehussengene fulle av influensapasienter	norge
244	Avsporing av klimadebatten | Erik Lahnstein	meninger
245	Kvinne knivstukket på Rodeløkka	osloby
246	KrF-leder Hareide: - Erna Solberg må velge mellom sentrum og Frp	norge
247	Ikke alle dumheter er straffbare | Inge D. Hanssen	meninger
248	Svart boks er funnet etter flystyrt i Svartehavet	verden
249	Erna Solberg har gitt den største gåva	amagasinet
250	Per-Willy Amundsen: – Jeg er ingen privatpraktiserende statsråd	norge
251	Vitne så Jakob (14) rett før drapet: - Han spaserte forbi sammen med en annen gutt.	norge
252	Politiet frigir navnet på drept snekker på Notodden	norge
253	Kripos: Drapet på Birgitte Tengs må etterforskes på nytt	norge
254	Nesten 2000 direkte rammet av Tyrkia-terror siden valget	verden
255	Bob Dylan til Norge	byliv
256	Islandske foreldre: – Jeg blir ofte spurt om jeg bare tuller når jeg sier at jeg ikke er norsk	meninger
257	Svensk politi jakter på fire menn etter brutalt dobbeltdrap	verden
258	PechaKucha: Nyle DiMarco er døv, men vant likevel den amerikanske utgave av skal vi danse	verden
259	Panama Papers: 6500 skattytere og selskaper under etterforskning	okonomi
260	Uvanlig velskrevet og originalt om å se og bli sett	kultur
261	Avsluttet året med bjørnedans	verden
262	I åtte år har minehunden Hamilton risikert livet for å leke med en gummiball	amagasinet
263	Lånekassen setter opp renten	okonomi
264	Oljetopp nytt, hett navn som USAs neste utenriksminister	verden
265	AF Gruppen skal bygge E18 Tvedestrand-Arendal, Nye Veier droppet tyske Hochtief	norge
266	Denne forestillingen fikk Danse-Norge til å ryke i tottene på hverandre	kultur
267	Politiet ønsker tips etter flere pistolran i Oslo	osloby
268	USA setter midlertidig stopp for omstridt oljerørledning	verden
269	Restaurantanmeldelsen: Blant Oslos dårligste restauranter	osloby
270	Oppskriften på en TV-suksess	amagasinet
271	EU og Cuba normaliserer forholdet	verden
272	Boligbrann i Lillestrøm	norge
273	Norge droppet militærattaché i Kina - nå kommer kritikken	norge
274	Leste falsk nyhet om at Clinton ledet pedofilinettverk. Møtte opp væpnet til tennene for avsløre henne.	verden
275	Se finansdebatten om 2017-budsjettet direkte fra Stortinget	norge
276	Regjeringens opptrappingsplan mot familievold: - Skuffende og uforpliktende	norge
277	Trump mener historisk FN-resolusjon vil forvanske fredsforhandlinger	verden
278	Berlin-angriper skal ha bedt nevø drepe onkel	verden
279	Skattejegeren fant tre tonn gull. Nå kan han ikke forlate fengsel før han sier hvor det er.	verden
280	Kortfilm: Burger	kultur
281	Det er viktig at skolen lærer elevene hva en gudstjeneste er | Refsdal og Afsar	meninger
282	Arnie «Skiffle Joe» Norse (91) er død	kultur
283	Dagens quiz	kultur
284	Offshoreflåten blør. Nå må du og jeg dekke rederienes misligholdte milliardlån.	okonomi
285	Dagens quiz	kultur
286	Sprer falske nyheter på Facebook med hets mot Trine Skei Grande	norge
287	Kritisk fase for politireformen | Per Anders Madsen	meninger
288	Statoil-ansatt korrupsjonssiktet, midlertidig suspendert	norge
289	Julequiz 2016	kultur
290	På juletreet i Larvik henger det ekte julegaveønsker fra fattige barn	norge
291	Slukking av FM-nettet blir ikke utsatt	kultur
292	Podkast fra Aftenposten: Skuddet på Toftøy. Episode 5: Vitnet	amagasinet
293	Årets Youtuber: Du er en gammeldags forelder hvis du synes sønnen din «kaster bort tid» på dataspill	norge
294	Var dette et fengsel? Jeg vil aldri mer havne i «isødet» på Ullevål psykiatri akuttenhet igjen	meninger
295	62 migranter funnet stuet sammen i varebil i Kroatia	verden
296	Politiet hadde kontroll i Grensen. 974.400 kroner gitt i forenklet forelegg på to dager	osloby
297	Ingen pågrepet etter at opptil 15 gutter brutalt ranet 14-åring	osloby
298	Etter 25 år tør jeg endelig å si ifra om hverdagsrasismen | Felicia Noelle Donkor	meninger
299	Christine Koht: Det er ikke alle gavene vi gleder oss til å åpne	amagasinet
300	To kritisk skadd etter knivstikking i Sandefjord	norge
301	DOKUMENTAR: Kayayo – Barneslavene	verden
302	Desperat jakt på terrorist som drepte 39 i Istanbul	verden
303	Malta: Her overgir flykaprerne seg til politiet	verden
304	Solberg ber biskoper besinne seg om asylretur	norge
305	Russiske myndigheter: Feil at den amerikanske skolen stenges	verden
306	Sviket i Aleppo | Helene Skjeggestad	meninger
307	Skam-Ruby skal spille Don Juans forsmådde kjæreste på  Nationaltheatret	kultur
308	Det fossile hjørnet: Skolen skal fange opp elever som sliter | Torbjørn Røe Isaksen	meninger
309	IS påtar seg skylden for kirkebombingen i Kairo	verden
310	Nekrolog: Per Ludvigsen	personalia
311	Opprørernes tilbakeslag har åpnet for masseflukt fra Aleppo	verden
312	Hemmeligheten bak Obamas superimage	amagasinet
313	Fra verdensrommet ser Jorden ut som en lysende kule. Og et av de lyseste stedene er Norge.	amagasinet
314	Erna Solberg er anklaget for dårlig lederskap. Velgerne er helt uenige. | Harald Stanghelle	meninger
315	Anmeldelse: Mye surr, litt gull fra Neil Young	kultur
316	Livredd for julenissen? Slik kan du bli kvitt santafobien	meninger
317	=Oslo vil starte kaffebar og leter etter lokale	osloby
318	Myhre: – Tror ikke jeg tegner Nemi om 20 år	kultur
319	Amerikanske eksperter: Kina installerer våpensystemer på omstridte øyer	verden
320	Gambias mangeårige president erkjenner valgnederlag	verden
321	Det feilslåtte presidentskapet har skapt dype splittelser. Kan en av disse samle venstresiden i Frankrike?	verden
322	Under streken	norge
323	Disse artiklene gikk rett hjem i år	amagasinet
324	Vetle Lid Larssen: Jul med Basusjernet	amagasinet
325	Så mye mer enn vanlige folk mener stortingsflertallet de fortjener om de blir arbeidsløse	norge
326	Russisk media: – Feil med vingeklaffene	verden
327	Avis: Bremsesystem hindret flere døde i Berlin	verden
328	Trump vil legge ned veldedig stiftelse	verden
329	Advarer demokratene mot å gi Trump like dårlig motstand som italienerne ga Silvio Berlusconi	verden
330	Nekrolog: Marit Kalstad	personalia
331	Kvinne i 40-årene og ungdomsskolegutt drept ved barneskole i Kristiansand	norge
332	Nå har Oslo fått sitt første rødgrønne budsjett på 19 år	osloby
333	Jul i De barnløses og De barnfastes samfunn	amagasinet
334	Med medier som megafon | Martina Probst Eide	meninger
335	Tre grunner til at vi ikke bryr oss om krigsofrene i Aleppo	verden
336	Livløs person funnet på gaten i Oslo	osloby
337	Tidsklemme-TV tar av: – Et yppelig format for seriefråtsing	kultur
338	Her kan du spise i julen	osloby
339	– Avtalen med Kina er ydmykende for Norge	verden
340	Kronikk: Mosul, et nytt Aleppo? | Afshin Ismaeli	kronikk
341	Her slipper du unna den norske julematen	osloby
342	Synlighet	kultur
343	Time: Donald Trump er årets person	verden
344	Mor fra Etiopia. Far fra Portugal og Mosambik. Født i Etiopia. Vokst opp i Portugal, Frankrike og Norge.	meninger
345	Tone Ilebekk (48) drept da hun forsøkte å redde Hassan	norge
346	Kirkeverge vil skyte hakkespetter	norge
347	Pressekonferanse om Tengs-saken: Feil grunnlag for etterforskningen det første året	norge
348	Over natten forbød statsministeren de største pengesedlene. Resultatet er kaos, bankkøer døgnet rundt og avlyste bryllup.	verden
349	Under streken	norge
350	Mah-Rukh Ali slutter i NRK etter få måneder	kultur
351	En person fremstilles for fengsling etter skyting mot utested i Oslo	norge
352	Språket vårt: Gå på vannet	kultur
353	Under streken	norge
354	Slik blir juleværet	osloby
355	Obama vet nok hva han gjør, men kan ha bommet likevel | Frank Rossavik	meninger
356	22 år gammel butikkansatt siktet for knivdrap på pauserommet	norge
357	Ingen skam å snu | Knut Olav Åmås	meninger
358	Kommuner får flagge med regnbueflagg	norge
359	Nobelinstituttets leder angrer ikke på at de inviterte Henry Kissinger til Oslo	osloby
360	Kåring: Beyoncé har laget årets låt	kultur
361	Én person funnet omkommet etter leirraset i Sørum - to fortsatt savnet	norge
362	Nekrolog: Ulf Lie	personalia
363	Forgjengeren skal ha kokt politiske fanger levende. Nå skaper den første nye presidenten på 25 år håp om bedring.	verden
364	Kronprinsessen avlyser reise til USA	norge
365	De første artistene som skal spille på Miniøya er klare	byliv
366	Restaurantanmeldelsen: La deg lokke av Lokk	osloby
367	Debatt: Naturmangfold står i skyggen av klimakampen	meninger
368	Biskop Eidsvig: - Vi har ikke hatt umoralske hensikter	amagasinet
369	Kabinettsspørsmål for nybegynnere	norge
370	Rytmeridderen Rick Parfitt er død | Asbjørn Bakke	meninger
371	Høysesong for «det lille, røde under» i Kina	amagasinet
372	Aftenposten mener: Kampen mot utenforskap aller viktigst	meninger
373	Kort sagt 9. desember 2016	meninger
374	Tiltalte innrømmet Kongsberg-drap i retten	norge
375	Leo Ajkic vokste opp med krig: - Jeg husker mye angst og frykt, men jeg husker gleden mer	amagasinet
376	Santos: Nobelprisen kom som en gave fra himmelen	osloby
377	Direkteblogg: Berlin-angriperen skutt og drept i Milano	verden
378	IMF-styret skal diskutere Lagarde-dommen	verden
379	Døde etter fall fra motellrom - kvinne og mann pågrepet	norge
380	Vi trenger mer medfølelse og mindre føleri i 2017 | Per Arne Dahl	meninger
381	Etter seks måneder med likestilt verneplikt:- Jentene har mindre frafall enn guttene	norge
382	Brannbil startet brann i Telemark	norge
383	Kvinne funnet død hjemme, en mann er siktet for drap	norge
384	Ingen skriver bedre om Washington	kultur
385	Russisk fly på vei til Syria styrtet i Svartehavet. Store deler av Røde Arme-koret omkom	verden
386	Dagens quiz	kultur
387	Nødnettet sviktet under ekstremværet	norge
388	Tyrkia forbyr medieomtale av attentat-etterforskning	verden
389	Nekrolog: Ines Prange	personalia
390	Politiet: Ingen har gått gjennom isen	norge
391	Virkelighetsdebatt på villspor | Kristine Næss	meninger
392	Kvinne (69) døde da bilen hennes falt fire meter ned i dette synkehullet	verden
393	Fortsatt få asylsøkere til Norge	norge
394	Barack Obama vant fredsprisen i 2009. I årene etter har han henrettet tusenvis av personer uten rettssak og dom.	verden
395	Julequiz 2016	kultur
396	Gi til noe annet enn Kreftforeningen | Johannes Bangum	meninger
397	Stortinget vedtok ett års ekstra etterlønn til representantene	norge
398	USAs høyesterett: Samsung slipper å betale 3,3 milliarder i erstatning	verden
399	Rakettfrykt preger Sverige - stenger kjøpesenter	verden
400	Han var dypt deprimert. Å få denne jobben var det beste som kunne skje.	okonomi
401	Katie Melua: Ambisiøst og vakkert	kultur
402	Russetiden 2018 er allerede i gang. 2018!	meninger
403	Beijing: Tukling med ett-Kina-prinsippet kan ramme freden	verden
404	Wærsted bekrefter at det har vært uenighet i Telenor-styret om Brekkes stilling	okonomi
405	Tesla skal ha gått med på å punge ut 65.000 til misfornøyde bileiere	norge
406	PechaKucha: Fikk pistol mot tinningen mens hun forsket på planter	norge
407	Sender ny milliardregning til bileierne	norge
408	Syrias hær erklærer Aleppo for gjenerobret	verden
409	Sveitsisk bank betaler gigantoppgjør til USA etter finanskrisen	verden
410	Kommunale ulvejegere sier opp i protest	norge
411	En barnevernprofessors ønskeliste | Reidun Follesø	meninger
412	NHO vil at staten tvinger Oslo sammen med Akershus, Østfold og Buskerud	osloby
413	Når verten stikker av fra regningen | Lasse Heimdal	meninger
414	Assad: Aleppo-seier et stort skritt nærmere krigsslutt	verden
415	Xi Jinping er storfornøyd med Trumps «norske» ambassadør til Kina	verden
416	Fredsprisvinneren er like mye hauk som due	meninger
417	Språket vårt: Postfaktuelt	kultur
418	Eksperter på dårlig samvittighet forsurer jula! | Thomas Leikvoll	meninger
419	Neida, dette er ikke et vikingskip	osloby
420	Stjålet konsentrasjonsleir-port funnet i Norge, politiet uten spor	verden
421	Ta sykehussmitten alvorlig, Høie! | Bjørg Marit Andersen	meninger
422	Opprøret mot elitene skaffet ham valgseieren. Nå inntar milliardærene Trumps regjering.	verden
